"H (kA_per_meter)" 	"B (tesla)"
0 	0
10 	0.016252994
11 	0.017325058000000001
12 	0.018395347999999999
13 	0.019463818000000001
13 	0.020530422
14 	0.021595118999999999
15 	0.022657867000000002
15 	0.023718626
16 	0.024777357999999999
17 	0.025834026
17 	0.026888595000000001
18 	0.027941029999999999
19 	0.028991296999999999
19 	0.030039364999999998
20 	0.031085202999999999
21 	0.032128779000000003
22 	0.033170065999999998
22 	0.034209033999999999
23 	0.035245657
24 	0.036279907
24 	0.037311758
25 	0.038341186999999999
26 	0.039368167000000003
26 	0.040392677000000002
27 	0.041414693000000002
28 	0.042434192000000003
28 	0.043451153999999999
29 	0.044465558000000002
30 	0.045477381999999997
31 	0.046486608999999998
31 	0.047493217999999997
32 	0.048497191000000002
33 	0.049498510000000003
33 	0.050497159
34 	0.051493118999999997
35 	0.052486376000000001
35 	0.053476912000000001
36 	0.054464712999999998
37 	0.055449763999999999
38 	0.056432049999999997
38 	0.057411558000000001
39 	0.058388273999999997
40 	0.059362184999999998
40 	0.060333278999999997
41 	0.061301543
42 	0.062266965000000001
42 	0.063229535000000003
43 	0.064189240999999994
44 	0.065146072999999999
44 	0.066100020999999995
45 	0.067051074000000002
46 	0.067999223999999997
47 	0.068944460999999999
47 	0.069886775999999998
48 	0.070826160999999999
49 	0.071762608000000006
49 	0.072696108999999995
50 	0.073626656999999998
51 	0.074554245000000005
51 	0.075478865000000006
52 	0.076400512000000004
53 	0.077319179000000002
53 	0.078234860000000003
54 	0.079147549999999997
55 	0.080057243
56 	0.080963934000000001
56 	0.081867619000000003
57 	0.082768293000000007
58 	0.083665951000000002
58 	0.084560590000000005
59 	0.085452207000000002
60 	0.086340795999999997
60 	0.087226356000000005
61 	0.088108883999999998
62 	0.088988374999999995
63 	0.089864828999999993
63 	0.090738241999999997
64 	0.091608613000000005
65 	0.092475940000000006
65 	0.093340221000000001
66 	0.094201454000000004
67 	0.095059639000000001
67 	0.095914773999999994
68 	0.096766857999999997
69 	0.097615891999999996
69 	0.098461874000000005
70 	0.099304803999999997
71 	0.100144683
72 	0.10098151
72 	0.10181528500000001
73 	0.10264601
74 	0.103473685
74 	0.10429831000000001
75 	0.105119887
76 	0.10593841599999999
76 	0.1067539
77 	0.107566339
78 	0.108375736
78 	0.10918209199999999
79 	0.10998540900000001
80 	0.11078568900000001
81 	0.11158293399999999
81 	0.112377147
82 	0.11316833
83 	0.113956487
83 	0.114741619
84 	0.11552373000000001
85 	0.116302822
85 	0.1170789
86 	0.117851966
87 	0.11862202299999999
88 	0.119389076
88 	0.120153128
89 	0.120914182
90 	0.121672243
90 	0.12242731499999999
91 	0.12317940099999999
92 	0.12392850699999999
92 	0.12467463600000001
93 	0.125417792
94 	0.126157981
94 	0.12689520700000001
95 	0.12762947499999999
96 	0.12836079
97 	0.12908915600000001
97 	0.12981457800000001
98 	0.13053706200000001
99 	0.13125661299999999
99 	0.13197323599999999
100 	0.132686937
101 	0.133397721
101 	0.134105593
102 	0.134810559
103 	0.135512625
103 	0.136211797
104 	0.13690807999999999
105 	0.137601481
106 	0.138292005
106 	0.13897965800000001
107 	0.139664447
108 	0.14034637699999999
108 	0.14102545599999999
109 	0.14170168899999999
110 	0.14237508199999999
110 	0.143045643
111 	0.143713377
112 	0.14437829099999999
113 	0.14504039199999999
113 	0.14569968699999999
114 	0.146356182
115 	0.14700988300000001
115 	0.14766079900000001
116 	0.148308935
117 	0.14895429900000001
117 	0.14959689700000001
118 	0.15023673700000001
119 	0.15087382599999999
119 	0.15150817
120 	0.152139777
121 	0.152768655
122 	0.15339480999999999
122 	0.154018249
123 	0.15463898000000001
124 	0.155257011
124 	0.15587234799999999
125 	0.15648499900000001
126 	0.157094972
126 	0.157702274
127 	0.15830691199999999
128 	0.15890889399999999
128 	0.159508228
129 	0.16010492100000001
130 	0.16069898099999999
131 	0.16129041599999999
131 	0.16187923300000001
132 	0.16246543999999999
133 	0.163049044
133 	0.163630054
134 	0.16420847699999999
135 	0.16478432200000001
135 	0.165357595
136 	0.165928304
137 	0.16649645900000001
138 	0.16706206500000001
138 	0.16762513200000001
139 	0.16818566800000001
140 	0.16874367900000001
140 	0.169299175
141 	0.169852162
142 	0.17040264999999999
142 	0.17095064600000001
143 	0.17149615800000001
144 	0.17203919300000001
144 	0.172579761
145 	0.17311786900000001
146 	0.173653526
147 	0.17418673800000001
147 	0.17471751499999999
148 	0.175245864
149 	0.17577179300000001
149 	0.17629531100000001
150 	0.176816426
151 	0.177335145
151 	0.17785147700000001
152 	0.17836542999999999
153 	0.178877012
153 	0.17938623100000001
154 	0.179893095
155 	0.18039761200000001
156 	0.180899791
156 	0.181399639
157 	0.181897165
158 	0.18239237699999999
158 	0.18288528200000001
159 	0.18337589000000001
160 	0.183864208
160 	0.184350244
161 	0.184834006
162 	0.18531550199999999
163 	0.18579474100000001
